regime,dataset,model,arm,n_folds,expected,mean_ntest,total_ntest,mean_pcc,std_pcc,mean_runtime_s,platform,status
Benchmarks 50ep/p10,S4169,Ankh-large,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ProstT5,base,10,10,250,2497,0.763748,0.063053,23663.4,MPS*,done
Benchmarks 50ep/p10,S4169,ProstT5,aug,10,10,250,2497,0.766168,0.062249,9871.8,MPS*,done
Benchmarks 50ep/p10,S4169,ProstT5,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ProstT5,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt,base,10,10,250,2497,0.814529,0.046493,950.2,MPS*,done
Benchmarks 50ep/p10,S4169,SaProt,aug,4,10,250,998,0.836126,0.051093,15077.5,MPS*,partial
Benchmarks 50ep/p10,S4169,SaProt,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt-1.3B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt-1.3B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt-1.3B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,SaProt-1.3B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM2-3B,base,10,10,250,2497,0.792264,0.048334,1853.3,MPS*,done
Benchmarks 50ep/p10,S4169,ESM2-3B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM2-3B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM2-3B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM3-1.4B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM3-1.4B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM3-1.4B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM3-1.4B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM-C 600M,base,10,10,250,2497,0.793650,0.047622,1634.1,MPS*,done
Benchmarks 50ep/p10,S4169,ESM-C 600M,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM-C 600M,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM-C 600M,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,ESM-C 6B,base,10,10,250,2497,0.825321,0.049025,26762.1,CUDA*,done
Benchmarks 50ep/p10,S4169,ESM-C 6B,aug,10,10,250,2497,0.834486,0.039883,7402.5,CUDA*,done
Benchmarks 50ep/p10,S4169,ESM-C 6B,fx_scalar,10,10,250,2497,0.856742,0.034265,5069.7,CUDA*,done
Benchmarks 50ep/p10,S4169,ESM-C 6B,fx_mlp,10,10,250,2497,0.857359,0.034413,4510.2,CUDA*,done
Benchmarks 50ep/p10,S4169,Ankh3-large,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-large,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-large,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-xl,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-xl,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-xl,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh3-xl,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,AIDO-16B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,AIDO-16B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,AIDO-16B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,AIDO-16B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,MINT,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,MINT,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,MINT,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,MINT,fx_mlp,0,10,,,,,,,empty
Honest ladder — S1102 (1100 muts),S1102 by-complex,Ankh-large,base,3,3,367,1100,0.719523,0.006634,422.1,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,Ankh-large,fx_scalar,3,3,367,1100,0.740427,0.027597,392.9,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,Ankh-large,fx_mlp,3,3,367,1100,0.744527,0.023879,724.8,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ProstT5,base,3,3,367,1100,0.684670,0.009795,429.8,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ProstT5,fx_scalar,3,3,367,1100,0.586672,0.148416,466.6,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ProstT5,fx_mlp,3,3,367,1100,0.706978,0.032915,337.3,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt,base,3,3,367,1100,0.722236,0.028616,385.1,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt,fx_scalar,3,3,367,1100,0.730942,0.033013,353.7,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt,fx_mlp,3,3,367,1100,0.734488,0.022311,425.5,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt-1.3B,base,3,3,367,1100,0.724188,0.050770,551.9,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt-1.3B,fx_scalar,3,3,367,1100,0.728014,0.023366,715.0,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,SaProt-1.3B,fx_mlp,3,3,367,1100,0.730750,0.029937,520.5,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM2-3B,base,3,3,367,1100,0.704187,0.056580,690.3,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM2-3B,fx_scalar,3,3,367,1100,0.701376,0.039924,952.2,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM2-3B,fx_mlp,3,3,367,1100,0.722485,0.010419,958.3,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM3-1.4B,base,3,3,367,1100,0.366463,0.200093,604.6,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM3-1.4B,fx_scalar,3,3,367,1100,0.502465,0.106839,917.3,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM3-1.4B,fx_mlp,3,3,367,1100,0.455687,0.094152,788.8,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM-C 600M,base,3,3,367,1100,0.724727,0.030149,278.8,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM-C 600M,fx_scalar,3,3,367,1100,0.737392,0.024457,435.0,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM-C 600M,fx_mlp,3,3,367,1100,0.736684,0.026708,417.4,MPS*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM-C 6B,base,3,3,367,1100,0.746599,0.009780,479.5,CUDA*,done
Honest ladder — S1102 (1100 muts),S1102 by-complex,ESM-C 6B,fx_scalar,3,3,367,1100,0.773336,0.017692,477.9,CUDA*,done
