tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
S1102 by-complex,ankh,fx_mlp,0.4820,0.3913,0.5667,24,1100,,,0.0395,-0.0595,0.1442,24
S1102 by-complex,ankh,fx_scalar,0.4947,0.3950,0.5821,24,1100,,,0.0522,-0.0558,0.1627,24
S1102 by-complex,esmc6b,base,0.4520,0.3407,0.5530,24,1100,,,0.0095,-0.1337,0.1522,24
S1102 by-complex,esmc6b,fx_mlp,0.5511,0.4697,0.6241,24,1100,,,0.1087,0.0163,0.2059,24
S1102 by-complex,esmc6b,fx_scalar,0.5464,0.4466,0.6270,24,1100,,,0.1039,-0.0154,0.2173,24
S1102 by-complex,ankh3_large,base,0.2811,0.1629,0.4010,24,1100,,,-0.1613,-0.3120,-0.0040,24
S1102 by-complex,ankh3_large,fx_mlp,0.4357,0.3294,0.5262,24,1100,,,-0.0067,-0.1239,0.1138,24
S1102 by-complex,ankh3_large,fx_scalar,0.5231,0.4432,0.5945,24,1100,,,0.0806,-0.0049,0.1737,24
S1102 by-complex,ankh3_xl,base,0.3495,0.2150,0.4782,24,1100,,,-0.0929,-0.2475,0.0647,24
S1102 by-complex,ankh3_xl,fx_mlp,0.4566,0.3732,0.5365,24,1100,,,0.0141,-0.0870,0.1245,24
S1102 by-complex,ankh3_xl,fx_scalar,0.5401,0.4402,0.6237,24,1100,,,0.0977,-0.0049,0.2011,24
S1102 by-complex,esmc600m,base,0.2832,0.1372,0.4249,24,1100,,,-0.1593,-0.3384,0.0175,24
S1102 by-complex,esmc600m,fx_mlp,0.4941,0.4042,0.5802,24,1100,,,0.0516,-0.0583,0.1734,24
S1102 by-complex,esmc600m,fx_scalar,0.5282,0.4410,0.6052,24,1100,,,0.0858,-0.0211,0.1973,24
S1102 by-complex,esm2,base,0.3250,0.1857,0.4609,24,1100,,,-0.1175,-0.2990,0.0583,24
S1102 by-complex,esm2,fx_mlp,0.4740,0.3676,0.5708,24,1100,,,0.0316,-0.0819,0.1501,24
S1102 by-complex,esm2,fx_scalar,0.4802,0.3809,0.5745,24,1100,,,0.0378,-0.0600,0.1311,24
S1102 by-complex,prostt5,base,0.2962,0.1594,0.4250,24,1100,,,-0.1462,-0.3097,0.0191,24
S1102 by-complex,prostt5,fx_mlp,0.4530,0.3454,0.5429,24,1100,,,0.0106,-0.1020,0.1210,24
S1102 by-complex,prostt5,fx_scalar,0.5493,0.4912,0.6089,24,1100,,,0.1069,0.0375,0.1823,24
S1102 by-complex,saprot,base,0.3249,0.1755,0.4678,24,1100,,,-0.1176,-0.3038,0.0670,24
S1102 by-complex,saprot,fx_mlp,0.4913,0.4173,0.5655,24,1100,,,0.0488,-0.0664,0.1733,24
S1102 by-complex,saprot,fx_scalar,0.5520,0.4702,0.6310,24,1100,,,0.1095,-0.0017,0.2245,24
S1102 by-complex,saprot13b,base,0.3505,0.1962,0.4945,24,1100,,,-0.0920,-0.2883,0.0997,24
S1102 by-complex,saprot13b,fx_mlp,0.4886,0.3915,0.5768,24,1100,,,0.0461,-0.0928,0.1873,24
S1102 by-complex,saprot13b,fx_scalar,0.5834,0.5098,0.6492,24,1100,,,0.1409,0.0472,0.2379,24
S1102 clustered,—,FoldX alone,0.4425,0.3585,0.5177,24,1100,1.0000,0.4425,,,,
S1102 clustered,ankh,base,0.1265,0.0169,0.2252,24,1100,,,-0.3160,-0.4549,-0.1715,24
S1102 clustered,ankh,fx_mlp,0.4325,0.3638,0.4941,24,1100,,,-0.0100,-0.0837,0.0695,24
S1102 clustered,ankh,fx_scalar,0.4264,0.3591,0.4940,24,1100,,,-0.0161,-0.0924,0.0598,24
S1102 clustered,esmc6b,base,0.3697,0.2564,0.4670,24,1100,,,-0.0728,-0.2013,0.0544,24
S1102 clustered,esmc6b,fx_mlp,0.3843,0.2768,0.4716,24,1100,,,-0.0581,-0.1793,0.0598,24
S1102 clustered,esmc6b,fx_scalar,0.4596,0.3607,0.5477,24,1100,,,0.0172,-0.0822,0.1193,24
S1102 clustered,ankh3_large,base,0.1074,0.0239,0.1853,24,1100,,,-0.3351,-0.4461,-0.2214,24
